Nume_Actiune,Timestamp
addComanda,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:01:40
new Instance of Adresa,24/05/2021 00:02:42
addComanda,24/05/2021 00:02:42
new Instance of Adresa,24/05/2021 00:02:42
new Instance of Adresa,24/05/2021 00:02:42
new Instance of Adresa,24/05/2021 00:02:42
new Instance of Adresa,24/05/2021 00:02:42
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:02:43
new Instance of Adresa,24/05/2021 00:10:12
addComanda,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:10:12
new Instance of Adresa,24/05/2021 00:42:52
addComanda,24/05/2021 00:42:52
new Instance of Adresa,24/05/2021 00:42:52
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:42:53
new Instance of Adresa,24/05/2021 00:45:41
addComanda,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:41
new Instance of Adresa,24/05/2021 00:45:42
